level,title,correct_rate,url,img_url
10K,Q-13177,47%,https://www.101weiqi.com//10K/13177/,https://static2.101weiqi.com/file/newimg/13177.png
10K,Q-1163,47%,https://www.101weiqi.com//10K/1163/,https://static2.101weiqi.com/file/newimg/1163.png
10K,Q-21913,55%,https://www.101weiqi.com//10K/21913/,https://static2.101weiqi.com/file/newimg/21913.png
10K,Q-2,91%,https://www.101weiqi.com//10K/2/,https://static2.101weiqi.com/file/newimg/2.png
10K,Q-21917,67%,https://www.101weiqi.com//10K/21917/,https://static2.101weiqi.com/file/newimg/21917.png
10K,Q-21932,70%,https://www.101weiqi.com//10K/21932/,https://static2.101weiqi.com/file/newimg/21932.png
10K,Q-21908,65%,https://www.101weiqi.com//10K/21908/,https://static2.101weiqi.com/file/newimg/21908.png
10K,Q-7,57%,https://www.101weiqi.com//10K/7/,https://static2.101weiqi.com/file/newimg/7.png
10K,Q-21942,63%,https://www.101weiqi.com//10K/21942/,https://static2.101weiqi.com/file/newimg/21942.png
10K,Q-373,61%,https://www.101weiqi.com//10K/373/,https://static2.101weiqi.com/file/newimg/373.png
10K,Q-371,67%,https://www.101weiqi.com//10K/371/,https://static2.101weiqi.com/file/newimg/371.png
10K,Q-378,63%,https://www.101weiqi.com//10K/378/,https://static2.101weiqi.com/file/newimg/378.png
10K,Q-21928,67%,https://www.101weiqi.com//10K/21928/,https://static2.101weiqi.com/file/newimg/21928.png
10K,Q-21967,71%,https://www.101weiqi.com//10K/21967/,https://static2.101weiqi.com/file/newimg/21967.png
10K,Q-21933,70%,https://www.101weiqi.com//10K/21933/,https://static2.101weiqi.com/file/newimg/21933.png
10K,Q-21944,67%,https://www.101weiqi.com//10K/21944/,https://static2.101weiqi.com/file/newimg/21944.png
10K,Q-21937,58%,https://www.101weiqi.com//10K/21937/,https://static2.101weiqi.com/file/newimg/21937.png
10K,Q-21972,67%,https://www.101weiqi.com//10K/21972/,https://static2.101weiqi.com/file/newimg/21972.png
10K,Q-372,59%,https://www.101weiqi.com//10K/372/,https://static2.101weiqi.com/file/newimg/372.png
10K,Q-21959,71%,https://www.101weiqi.com//10K/21959/,https://static2.101weiqi.com/file/newimg/21959.png
10K,Q-21955,70%,https://www.101weiqi.com//10K/21955/,https://static2.101weiqi.com/file/newimg/21955.png
10K,Q-21963,71%,https://www.101weiqi.com//10K/21963/,https://static2.101weiqi.com/file/newimg/21963.png
10K,Q-1145,69%,https://www.101weiqi.com//10K/1145/,https://static2.101weiqi.com/file/newimg/1145.png
10K,Q-21964,71%,https://www.101weiqi.com//10K/21964/,https://static2.101weiqi.com/file/newimg/21964.png
10K,Q-21981,64%,https://www.101weiqi.com//10K/21981/,https://static2.101weiqi.com/file/newimg/21981.png
10K,Q-21954,61%,https://www.101weiqi.com//10K/21954/,https://static2.101weiqi.com/file/newimg/21954.png
10K,Q-21978,64%,https://www.101weiqi.com//10K/21978/,https://static2.101weiqi.com/file/newimg/21978.png
10K,Q-21968,72%,https://www.101weiqi.com//10K/21968/,https://static2.101weiqi.com/file/newimg/21968.png
10K,Q-21947,72%,https://www.101weiqi.com//10K/21947/,https://static2.101weiqi.com/file/newimg/21947.png
10K,Q-11624,81%,https://www.101weiqi.com//10K/11624/,https://static2.101weiqi.com/file/newimg/11624.png
10K,Q-22012,67%,https://www.101weiqi.com//10K/22012/,https://static2.101weiqi.com/file/newimg/22012.png
10K,Q-1133,68%,https://www.101weiqi.com//10K/1133/,https://static2.101weiqi.com/file/newimg/1133.png
10K,Q-21691,73%,https://www.101weiqi.com//10K/21691/,https://static2.101weiqi.com/file/newimg/21691.png
10K,Q-8185,64%,https://www.101weiqi.com//10K/8185/,https://static2.101weiqi.com/file/newimg/8185.png
10K,Q-22005,69%,https://www.101weiqi.com//10K/22005/,https://static2.101weiqi.com/file/newimg/22005.png
10K,Q-1201,59%,https://www.101weiqi.com//10K/1201/,https://static2.101weiqi.com/file/newimg/1201.png
10K,Q-22032,69%,https://www.101weiqi.com//10K/22032/,https://static2.101weiqi.com/file/newimg/22032.png
10K,Q-11859,65%,https://www.101weiqi.com//10K/11859/,https://static2.101weiqi.com/file/newimg/11859.png
10K,Q-1140,67%,https://www.101weiqi.com//10K/1140/,https://static2.101weiqi.com/file/newimg/1140.png
10K,Q-13042,84%,https://www.101weiqi.com//10K/13042/,https://static2.101weiqi.com/file/newimg/13042.png
10K,Q-9411,73%,https://www.101weiqi.com//10K/9411/,https://static2.101weiqi.com/file/newimg/9411.png
10K,Q-1119,57%,https://www.101weiqi.com//10K/1119/,https://static2.101weiqi.com/file/newimg/1119.png
10K,Q-21975,70%,https://www.101weiqi.com//10K/21975/,https://static2.101weiqi.com/file/newimg/21975.png
10K,Q-19950,66%,https://www.101weiqi.com//10K/19950/,https://static2.101weiqi.com/file/newimg/19950.png
10K,Q-22222,76%,https://www.101weiqi.com//10K/22222/,https://static2.101weiqi.com/file/newimg/22222.png
10K,Q-448,75%,https://www.101weiqi.com//10K/448/,https://static2.101weiqi.com/file/newimg/448.png
10K,Q-22212,77%,https://www.101weiqi.com//10K/22212/,https://static2.101weiqi.com/file/newimg/22212.png
10K,Q-22477,71%,https://www.101weiqi.com//10K/22477/,https://static2.101weiqi.com/file/newimg/22477.png
10K,Q-469,79%,https://www.101weiqi.com//10K/469/,https://static2.101weiqi.com/file/newimg/469.png
10K,Q-22055,77%,https://www.101weiqi.com//10K/22055/,https://static2.101weiqi.com/file/newimg/22055.png
